,player,comp_group,rvap_raw,n1,icr_raw,n2,wpa_raw,n3,rvap_w,icr_w,wpa_w,rvap_z,icr_z,wpa_z,icr_z_final_initial,icr_percentile_final_initial,rvap_score_percentile,icr_rank_final,icr_z_final,icr_percentile_final,batter,team_bat
6934,rilee rossouw,Top Order,36.24525987322782,8.0,5792.765807753901,8.0,22.259999999999994,8.0,36.24525987322782,5792.765807753901,22.259999999999994,0.4065170864223024,0.10677534058877956,0.15068114321566223,0.1964670676896953,57.787769674706844,77.77777777777779,9.0,0.12090281088596631,62.857142857142854,Rilee Rossouw,Punjab Kings
7056,abishek porel,Top Order,14.41787758399752,12.0,6148.334173117301,12.0,12.070000000000036,12.0,14.41787758399752,6148.334173117301,12.070000000000036,0.07060943145130795,0.39808781547250877,-0.08186718979938402,0.16474072320194483,56.542596880233276,62.96296296296296,11.0,0.11628756931901986,61.42857142857143,Abishek Porel,Delhi Capitals
7269,tim david,Middle Order,13.854411446278682,11.0,6821.850261758662,11.0,-10.939999999999975,11.0,13.854411446278682,6821.850261758662,-10.939999999999975,-0.21818723363209364,0.582536202922733,-0.11263867154259749,0.16186480499637337,56.42938405911902,53.333333333333336,7.0,0.11128205343500666,60.0,Tim David,Mumbai Indians
7437,shreyas iyer,Top Order,-3.7991759099784446,14.0,6819.655237233326,14.0,-16.320000000000032,14.0,-3.7991759099784446,6819.655237233326,-16.320000000000032,-0.20973786986763593,0.9480923144085881,-0.7297619075910627,0.12904767816538737,55.13400387572278,40.74074074074074,12.0,0.09508776285870646,58.57142857142858,Shreyas Iyer,Kolkata Knight Riders
7687,marcus stoinis,Top Order,33.27850593535315,14.0,5086.731601990317,14.0,49.20999999999997,14.0,33.27850593535315,5086.731601990317,49.20999999999997,0.3608608851911017,-0.4716691777343018,0.765713289904133,0.12695161140017672,55.05106514610898,70.37037037037037,13.0,0.09354329261065651,57.14285714285714,Marcus Stoinis,Lucknow Super Giants
7959,rahul tripathi,Top Order,7.802717542067281,6.0,6111.9063000396945,6.0,18.000000000000014,6.0,7.802717542067281,6111.9063000396945,18.000000000000014,-0.03119310572416426,0.36824293922728274,0.05346270370201194,0.16842133404166468,56.68740871550375,51.85185185185185,10.0,0.09186618220454432,55.714285714285715,Rahul Tripathi,Sunrisers Hyderabad
8080,shubman gill,Openers,41.11854110078306,12.0,6258.871112109287,12.0,38.23000000000003,12.0,41.11854110078306,6258.871112109287,38.23000000000003,0.2000320641664556,0.47634716027373375,-0.4366358687907365,0.12027932015302267,54.78690573504088,59.09090909090909,9.0,0.08490304951978069,54.285714285714285,Shubman Gill,Gujarat Titans
8375,yashasvi jaiswal,Openers,-53.37244563051573,15.0,5792.915154856718,15.0,111.90000000000003,15.0,-53.37244563051573,5792.915154856718,111.90000000000003,-0.9749960134026701,0.15965501331131574,0.8764673599917855,0.09681128850365323,53.85618704411576,18.181818181818183,10.0,0.0726084663777399,52.85714285714286,Yashasvi Jaiswal,Rajasthan Royals
8663,david miller,Middle Order,6.15397665615134,9.0,6402.272622869275,9.0,5.030000000000081,9.0,6.15397665615134,6402.272622869275,5.030000000000081,-0.3283846461783366,0.2957719640695795,0.21450317128473026,0.11218806773418802,54.466285499529896,33.33333333333333,8.0,0.0721209006862637,51.42857142857142,David Miller,Gujarat Titans
8812,will jacks,Top Order,14.208289178418301,8.0,5557.143553108797,8.0,29.56000000000007,8.0,14.208289178418301,5557.143553108797,29.56000000000007,0.06738401720353708,-0.08626686683087585,0.31727612172497155,0.0791014935386743,53.152405221719,59.25925925925925,14.0,0.048677842177645696,50.0,Will Jacks,Royal Challengers Bengaluru
8945,sam curran,Middle Order,11.809063641636167,12.0,5122.089410490476,12.0,49.3,12.0,11.809063641636167,5122.089410490476,49.3,-0.24745727382744942,-0.5791811565545942,1.1213641219400667,0.037693080997942885,51.50338036789888,46.666666666666664,9.0,0.02660688070443025,48.57142857142857,Sam Curran,Punjab Kings
9175,jos buttler,Openers,-22.128238987681346,11.0,5181.819039341303,11.0,113.53999999999995,11.0,-22.128238987681346,5181.819039341303,113.53999999999995,-0.586463505311699,-0.255683255919286,0.9056989236568218,0.02441883050181648,50.97407358823438,36.36363636363637,11.0,0.016787945969998806,47.14285714285714,Jos Buttler,Rajasthan Royals
9441,faf du plessis,Openers,-27.630447647727,15.0,6102.965690790615,15.0,46.05999999999998,15.0,-27.630447647727,6102.965690790615,46.05999999999998,-0.6548853716488838,0.3703843072787503,-0.29707297641436786,-0.09848729360676069,46.07726805695494,27.27272727272727,12.0,-0.07386547020507053,45.714285714285715,Faf Du Plessis,Royal Challengers Bengaluru
9717,rohit sharma,Openers,-25.90888019725564,14.0,5372.442970639247,14.0,78.13999999999993,14.0,-25.90888019725564,5372.442970639247,78.13999999999993,-0.6334770854015894,-0.12612358160775164,0.27472492747246857,-0.12905393639038823,44.86574852758136,31.818181818181817,13.0,-0.09509237418239133,44.285714285714285,Rohit Sharma,Mumbai Indians
10010,angkrish raghuvanshi,Top Order,-11.28695846094464,7.0,5319.489003415823,7.0,18.429999999999964,7.0,-11.28695846094464,5319.489003415823,18.429999999999964,-0.3249694374600904,-0.2809741067949309,0.063275832573107,-0.1842546095614528,42.69068602641658,37.03703703703704,15.0,-0.10748185557751416,42.857142857142854,Angkrish Raghuvanshi,Kolkata Knight Riders
