,player,comp_group,rvap_raw,icr_raw,wpa_raw,n1,n2,n3,rvap_w,icr_w,wpa_w,rvap_z,icr_z,wpa_z,icr_z_final_initial,icr_percentile_final_initial,rvap_score_percentile,icr_rank_final,icr_z_final,icr_percentile_final,bowler,team_bowl
10453,kagiso rabada,['Powerplay'],73.4250280128719,39.63072143791848,-39.8,11.0,11.0,11,73.4250280128719,39.63072143791848,-39.8,-0.6540682230447041,-0.6455508942262141,-0.5695840124545973,-0.28635168500875496,38.73043878510256,30.0,7.0,-0.19686678344351907,35.82089552238806,Kagiso Rabada,Punjab Kings
10701,jaydev unadkat,"['Middle', 'Death']",100.98878595899942,38.844883905984,13.410000000000004,11.0,11.0,11,100.98878595899942,38.844883905984,13.410000000000004,-0.7442536193680412,-0.9531894171575966,0.417797805287984,-0.3269458126036904,37.18544350084322,18.181818181818183,8.0,-0.22477524616503716,34.32835820895522,Jaydev Unadkat,Sunrisers Hyderabad
10901,mayank markande,['Middle'],280.59162186055164,52.047630781670165,-53.07000000000001,7.0,7.0,7,280.59162186055164,52.047630781670165,-53.07000000000001,0.8645970884711905,0.34915333787897423,-0.9835780488190298,-0.38715719219790007,34.93199196627044,83.33333333333334,13.0,-0.2258416954487751,32.83582089552239,Mayank Markande,Sunrisers Hyderabad
11043,ravichandran ashwin,['Middle'],-59.47630634099204,27.23748279087043,-17.64999999999999,14.0,14.0,14,-46.25694981183964,27.23748279087043,-17.64999999999999,-1.7268017656161472,-1.1591307041159682,-0.3622691211928521,-0.37115715137993155,35.526024276639426,5.555555555555555,12.0,-0.2734842168062654,31.343283582089555,Ravichandran Ashwin,Rajasthan Royals
11385,nandre burger,['Powerplay'],213.75201520081123,59.92351151759674,-38.22,5.0,5.0,5,213.75201520081123,59.92351151759674,-38.22,0.5046719353131591,0.6204316185110175,-0.517156111831699,-0.632235290531017,26.36165701126859,70.0,8.0,-0.31611764526550856,29.850746268656714,Nandre Burger,Rajasthan Royals
11486,rasikh salam,"['Middle', 'Death']",138.43895614958961,49.93622171225998,-35.780000000000015,8.0,8.0,8,138.43895614958961,49.93622171225998,-35.780000000000015,-0.537867184900924,-0.25052839055125076,-0.710519221136225,-0.6475603245100108,25.863468286295532,45.45454545454545,9.0,-0.3984986612369298,28.35820895522388,Rasikh Salam,Delhi Capitals
11638,krunal pandya,['Middle'],51.804402917663765,22.75862767960828,55.21999999999997,12.0,12.0,12,51.804402917663765,23.318735264644857,55.21999999999997,-0.9493283448413535,-1.3973632354416576,0.9159573484886704,-0.5663836018979886,28.556651978727494,22.22222222222222,14.0,-0.39980018957505087,26.865671641791046,Krunal Pandya,Lucknow Super Giants
11833,yash thakur,['Death'],74.34546091509563,35.02016240935063,-73.21999999999997,10.0,10.0,10,74.34546091509563,35.02016240935063,-73.21999999999997,-0.7469476877340105,-0.5859250501975288,-0.4981243420981704,-0.6332231349372548,26.329396999971777,25.0,3.0,-0.4221487566248366,25.37313432835821,Yash Thakur,Lucknow Super Giants
12055,gerald coetzee,"['Powerplay', 'Death']",124.28884150987673,42.54045775952113,-16.049999999999976,10.0,10.0,10,124.28884150987673,42.54045775952113,-16.049999999999976,-0.721032885636232,-0.6880297197020104,0.18904304007797634,-0.6434795250639367,25.995649812089987,25.0,14.0,-0.4289863500426245,23.88059701492537,Gerald Coetzee,Mumbai Indians
12268,deepak chahar,['Powerplay'],102.31624575214717,36.74047055693901,-16.76000000000002,8.0,8.0,8,102.31624575214717,36.74047055693901,-16.76000000000002,-0.4155010387188327,-0.8258615887328122,0.1949342346033647,-0.7760060044049978,21.8872720302758,40.0,9.0,-0.4775421565569218,22.388059701492537,Deepak Chahar,Chennai Super Kings
12414,harpreet brar,['Middle'],23.817349306512483,26.053378179823433,-1.5299999999999905,13.0,13.0,13,23.817349306512483,26.053378179823433,-1.5299999999999905,-1.1712219828833537,-1.2311160098689649,-0.07950514848438284,-0.671454401294443,25.096554934195193,16.666666666666664,15.0,-0.48493928982376444,20.8955223880597,Harpreet Brar,Punjab Kings
