,player,comp_group,rvap_raw,n1,icr_raw,n2,wpa_raw,n3,rvap_w,icr_w,wpa_w,rvap_z,icr_z,wpa_z,icr_z_final_initial,icr_percentile_final_initial,rvap_score_percentile,icr_rank_final,icr_z_final,icr_percentile_final,batter,team_bat
7395,ishan kishan,Openers,-17.655970652749456,14.0,5409.645887687013,14.0,101.51000000000002,14.0,-17.655970652749456,5409.645887687013,101.51000000000002,-0.5006711880140315,-0.15599066805325426,0.6673253703991776,0.01466262560511078,50.5849331700996,36.36363636363637,11.0,0.010804039919555294,55.73770491803278,Ishan Kishan,Mumbai Indians
7679,venkatesh iyer,Top Order,25.241538736113707,13.0,5445.960993434535,13.0,32.68999999999998,13.0,25.241538736113707,5445.960993434535,32.68999999999998,0.15718126684329428,-0.3574548929127095,0.4096280060413299,0.013272242564410466,50.52947032684292,61.111111111111114,8.0,0.009585508518740876,54.09836065573771,Venkatesh Iyer,Kolkata Knight Riders
7938,axar patel,Middle Order,71.72615422027835,13.0,6415.35145541042,13.0,-14.329999999999984,13.0,71.72615422027835,6415.35145541042,-14.329999999999984,0.5618330617709135,0.1411240909357549,-0.8080335968838596,-0.049699045302817435,48.01811086295463,75.0,9.0,-0.035893754940923714,52.459016393442624,Axar Patel,Delhi Capitals
8154,marcus stoinis,Top Order,79.35940066842271,14.0,4958.242808416953,14.0,17.540000000000003,14.0,79.35940066842271,4958.242808416953,17.540000000000003,0.8775527541978829,-0.7103771800907768,0.07087153148237205,-0.06331033377806308,47.475969355397936,77.77777777777779,9.0,-0.04664971962594123,50.81967213114754,Marcus Stoinis,Lucknow Super Giants
8395,andre russell,Lower Order,58.32497170825532,13.0,4910.696528456814,13.0,-11.140000000000036,13.0,58.32497170825532,4910.696528456814,-11.140000000000036,0.721464077637548,-0.1413553185698294,-0.6821307094329386,-0.09221736066773471,46.32626724997772,83.33333333333334,3.0,-0.06660142714891953,49.18032786885246,Andre Russell,Kolkata Knight Riders
8538,liam livingstone,Top Order,43.18361114126205,6.0,4935.615006105096,6.0,8.989999999999974,6.0,43.18361114126205,4935.615006105096,8.989999999999974,0.39601105285529636,-0.7267510943532233,-0.12030786505090207,-0.25229913854567104,40.04049269720858,66.66666666666666,10.0,-0.1376177119340024,47.540983606557376,Liam Livingstone,Punjab Kings
8652,phil salt,Openers,-28.663452807831767,9.0,5362.978357900636,9.0,53.13999999999996,9.0,-28.663452807831767,5362.978357900636,53.13999999999996,-0.5898418398325239,-0.18604052627446335,-0.06868661309781962,-0.25156596624715705,40.06882838551245,31.818181818181817,12.0,-0.16172097830174387,45.90163934426229,Phil Salt,Delhi Capitals
8787,sanju samson,Top Order,-51.63293956788298,14.0,6549.274980407237,14.0,-21.399999999999956,14.0,-51.63293956788298,6549.274980407237,-21.399999999999956,-0.866107168770174,0.440924391927615,-0.7998332288691673,-0.27896099129881663,39.01373806299917,27.77777777777778,11.0,-0.20555020411491753,44.26229508196721,Sanju Samson,Rajasthan Royals
9027,dhruv jurel,Middle Order,-35.258984018098445,11.0,6357.676522352158,11.0,-1.5299999999999745,11.0,-35.258984018098445,6357.676522352158,-1.5299999999999745,-0.8328649018404367,0.09637862833575869,-0.5274796941390785,-0.3345053403509931,36.89991308761659,31.25,10.0,-0.22997242149130778,42.62295081967213,Dhruv Jurel,Rajasthan Royals
9120,ayush badoni,Lower Order,70.43264204659762,11.0,4764.729178997821,11.0,-56.35000000000002,11.0,69.8272585296805,4764.729178997821,-54.08950000000002,1.2325132892626283,-0.3584613321781378,-1.675620055400326,-0.36812416135609605,35.63903278984032,100.0,4.0,-0.25308536093231604,40.98360655737705,Ayush Badoni,Lucknow Super Giants
